cat /sys/kernel/fvm/bec
bec_pba_page_count cat /sys/kernel/fvm/dedupe
Total Logical  Space  cat /sys/kernel/fvm/fec
FEC Active Count   dmesg
[18873.420858] cwtn:pba_index = 162861, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18873.431856] cwtf:pba_index = 107257, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.499092] cwtf:pba_index = 1723, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.520608] cwtf:pba_index = 136346, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.538128] cwtf:pba_index = 148933, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.556378] cwtf:pba_index = 24167, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 171973
[18873.565488] cwtn:pba_index = 171973, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18873.575822] cwtf:pba_index = 58666, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.594235] cwtf:pba_index = 33305, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 0
[18873.664226] cwtf:pba_index = 213542, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 83744
[18873.664232] cwtn:pba_index = 83744, retry_cnt=1, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18873.675691] cwtf:pba_index = 69955, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 671
[18873.685316] cwtn:pba_index = 671, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 0
[18873.696540] cwtf:pba_index = 106003, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18873.712901] cwtf:pba_index = 89224, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 118526
[18873.722008] cwtn:pba_index = 118526, retry_cnt=1, diskr_cnt = 2, Tag = 104, Next pba_index = 0
[18873.728840] cwtf:pba_index = 91157, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.743741] cwtf:pba_index = 47287, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 199
[18873.750314] cwtn:pba_index = 199, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 0
[18873.762468] cwtf:pba_index = 84927, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.780165] cwtf:pba_index = 222101, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.802025] cwtf:pba_index = 34033, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 0
[18873.879568] cwtf:pba_index = 197527, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 0
[18873.897011] cwtf:pba_index = 49563, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.919666] cwtf:pba_index = 105521, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.925129] cwtf:pba_index = 143366, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18873.941816] cwtf:pba_index = 149111, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 104430
[18873.946804] cwtn:pba_index = 104430, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 0
[18873.967624] cwtf:pba_index = 157717, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 80873
[18873.975991] cwtn:pba_index = 80873, retry_cnt=1, diskr_cnt = 2, Tag = 104, Next pba_index = 62523
[18873.981609] cwtn:pba_index = 62523, retry_cnt=2, diskr_cnt = 3, Tag = 105, Next pba_index = 143880
[18873.986804] cwtn:pba_index = 143880, retry_cnt=3, diskr_cnt = 4, Tag = 106, Next pba_index = 0
[18873.999701] cwtf:pba_index = 36794, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 4449
[18874.007170] cwtn:pba_index = 4449, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
